market_id,category,side,entry_at,exit_at,size_usd,pnl_usd,pnl_pct,exit_reason,won,suspect_classification,question
9279,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:11+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-69.12,-0.1382,end_of_data,False,True,Will Argentina’s annual inflation be less than 20%?
9282,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:11+00:00,2026-05-17T22:00:48.078022+00:00,500.0,49.82,0.0996,end_of_data,True,True,Will Argentina’s annual inflation in 2026 be between 25% and 29.9%?
6244,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:12+00:00,2026-05-17T22:00:48.078022+00:00,500.0,364.6,0.7292,end_of_data,True,True,Will inflation reach more than 5% in 2026?
8570,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:13+00:00,2026-04-29T18:00:12+00:00,500.0,2973.16,5.9463,convergence,True,True,Will Canada’s 2026 inflation be less than 1.0%?
9577,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:13+00:00,2026-05-17T22:00:48.078022+00:00,500.0,2377.05,4.7541,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be between 3.00% and 3.49%?
10895,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:13+00:00,2026-05-17T22:00:48.078022+00:00,500.0,311.37,0.6227,end_of_data,True,True,Will South Korea’s 2026 Annual Inflation be between 1.8% and 2.0%?
6247,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:14+00:00,2026-05-17T22:00:48.078022+00:00,500.0,153.22,0.3064,end_of_data,True,True,Will inflation reach more than 10% in 2026?
9570,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:14+00:00,2026-04-28T18:00:11+00:00,500.0,935.88,1.8718,convergence,True,True,Will the UK’s 2026 inflation be between 4.0% and 4.4%?
11039,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:14+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-89.83,-0.1797,end_of_data,False,True,Will India’s 2026 Annual Inflation be between 0.75% and 1.49%?
9582,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:15+00:00,2026-05-17T22:00:48.078022+00:00,500.0,1169.46,2.3389,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be between 5.50% and 5.99%?
